"AGE","AK_M_2005","AK_F_2005","CA_M_2005","CA_F_2005","CO_M_2005","CO_F_2005","http://www.census.gov/popest/states/asrh/"
0,25884,24522,1362702,1300248,174137,166517,
5,24587,23153,1277842,1218310,157874,150981,
10,27195,25838,1386758,1319753,162181,154597,
15,29160,25820,1340783,1258302,169464,156925,
20,32971,24779,1366570,1242426,183123,165311,
25,25130,22607,1365006,1260136,174251,160068,
30,23092,21457,1341682,1256694,179837,162767,
35,24159,22206,1375971,1302881,176880,164855,
40,26890,26296,1400520,1365934,185977,183411,
45,28257,27484,1315093,1314376,185691,185779,
50,26320,24455,1121174,1157036,165906,166635,
55,20491,17947,937097,989607,137259,137849,
60,12980,11820,658212,721713,92076,96627,
65,8021,7397,498177,570278,65980,71528,
70,5398,5873,402260,488258,51043,59848,
75,3924,4451,328367,444338,39479,52020,
80,2191,3061,238706,363015,26371,40916,
85,1280,2392,165476,339554,17455,39162,
90,0,0,0,0,0,0,
95,0,0,0,0,0,0,
100,0,0,0,0,0,0,
